iter	Passed	Remaining
419	1658	2289
420	1661	2285
421	1663	2278
422	1664	2270
423	1666	2263
424	1668	2256
425	1669	2249
426	1671	2243
427	1673	2236
428	1675	2229
429	1676	2222
430	1679	2217
431	1681	2210
432	1682	2203
433	1684	2197
434	1686	2190
435	1687	2183
436	1689	2176
437	1691	2169
438	1692	2162
439	1694	2156
440	1695	2149
441	1699	2145
442	1701	2139
443	1703	2132
444	1704	2126
445	1706	2119
446	1707	2112
447	1709	2106
448	1711	2099
449	1712	2093
450	1714	2086
451	1717	2082
452	1719	2076
453	1721	2070
454	1723	2064
455	1742	2078
456	1752	2082
457	1763	2087
458	1772	2089
459	1789	2100
460	1796	2100
461	1813	2111
462	1830	2122
463	1842	2128
464	1846	2124
465	1848	2118
466	1852	2114
467	1855	2109
468	1858	2103
469	1861	2099
470	1864	2093
471	1867	2088
472	1868	2082
473	1870	2075
474	1872	2069
475	1874	2063
476	1875	2056
477	1880	2053
478	1882	2047
479	1884	2041
480	1886	2035
481	1887	2028
482	1889	2022
483	1890	2015
484	1892	2009
485	1894	2003
486	1897	1998
487	1899	1992
488	1901	1986
489	1903	1980
490	1905	1975
491	1907	1969
492	1909	1963
493	1910	1957
494	1912	1950
495	1913	1944
496	1917	1940
497	1918	1934
498	1920	1928
499	1922	1922
500	1923	1916
501	1925	1909
502	1926	1903
503	1928	1897
504	1930	1892
505	1932	1886
506	1935	1882
507	1937	1876
508	1938	1869
509	1940	1863
510	1941	1857
511	1943	1852
512	1945	1846
513	1946	1840
514	1948	1834
515	1949	1829
516	1951	1823
517	1954	1818
518	1956	1813
519	1958	1807
520	1960	1802
521	1962	1797
522	1964	1791
523	1966	1786
524	1968	1781
525	1970	1775
526	1975	1773
527	1977	1767
528	1979	1762
529	1981	1757
530	1983	1752
531	1986	1747
532	1988	1742
533	1993	1739
534	1996	1735
535	1999	1730
536	2002	1726
537	2005	1722
538	2007	1717
539	2009	1711
540	2013	1708
541	2015	1703
542	2017	1698
543	2020	1693
544	2021	1687
545	2023	1682
546	2026	1677
547	2027	1672
548	2031	1668
549	2034	1664
550	2036	1659
551	2038	1654
552	2040	1649
553	2042	1644
554	2044	1639
555	2046	1634
556	2049	1630
557	2052	1625
558	2054	1620
559	2056	1615
560	2057	1610
561	2060	1605
562	2061	1600
563	2063	1595
564	2065	1590
565	2069	1586
566	2070	1581
567	2073	1577
568	2075	1572
569	2077	1567
570	2080	1562
571	2082	1557
572	2083	1552
573	2085	1547
574	2088	1543
575	2090	1539
576	2092	1534
577	2094	1528
578	2096	1524
579	2098	1519
580	2100	1514
581	2101	1509
582	2103	1504
583	2104	1499
584	2108	1495
585	2110	1490
586	2111	1485
587	2112	1480
588	2114	1475
589	2116	1470
590	2117	1465
591	2119	1460
592	2120	1455
593	2122	1450
594	2125	1447
595	2127	1442
596	2129	1437
597	2131	1433
598	2135	1429
599	2136	1424
600	2138	1419
601	2140	1415
602	2142	1410
603	2145	1406
604	2147	1402
605	2149	1397
606	2151	1393
607	2153	1388
608	2155	1383
609	2156	1378
610	2158	1374
611	2160	1369
612	2161	1364
613	2164	1360
614	2166	1356
615	2168	1351
616	2170	1347
617	2173	1343
618	2174	1338
619	2176	1334
620	2179	1329
621	2182	1326
622	2185	1322
623	2186	1317
624	2188	1313
625	2192	1309
626	2195	1305
627	2196	1301
628	2198	1296
629	2200	1292
630	2203	1288
631	2205	1284
632	2207	1279
633	2209	1275
634	2210	1270
635	2212	1266
636	2214	1261
637	2215	1257
638	2217	1252
639	2221	1249
640	2222	1244
641	2224	1240
642	2226	1236
643	2227	1231
644	2229	1227
645	2231	1222
646	2233	1218
647	2234	1213
648	2236	1209
649	2237	1205
650	2240	1201
651	2242	1196
652	2243	1192
653	2246	1188
654	2247	1183
655	2249	1179
656	2250	1174
657	2251	1170
658	2253	1166
659	2255	1161
660	2258	1158
661	2260	1153
662	2261	1149
663	2263	1145
664	2264	1140
665	2266	1136
666	2267	1132
667	2269	1127
668	2270	1123
669	2272	1119
670	2274	1115
671	2277	1111
672	2279	1107
673	2281	1103
674	2283	1099
675	2284	1095
676	2286	1090
677	2288	1086
678	2289	1082
679	2291	1078
680	2292	1074
681	2296	1070
682	2297	1066
683	2299	1062
684	2300	1058
685	2302	1053
686	2303	1049
687	2305	1045
688	2307	1041
689	2309	1037
690	2310	1033
691	2312	1029
692	2315	1025
693	2317	1021
694	2318	1017
695	2320	1013
696	2321	1009
697	2323	1005
698	2325	1001
699	2326	997
700	2328	993
701	2329	988
702	2331	984
703	2334	981
704	2336	977
705	2338	973
706	2340	969
707	2342	965
708	2344	962
709	2345	958
710	2347	954
711	2348	949
712	2350	945
713	2354	943
714	2356	939
715	2357	935
716	2359	931
717	2360	927
718	2362	923
719	2364	919
720	2365	915
721	2367	911
722	2369	907
723	2372	904
724	2374	900
725	2376	896
726	2378	893
727	2380	889
728	2382	885
729	2383	881
730	2384	877
731	2386	873
732	2388	870
733	2390	866
734	2392	862
735	2394	858
736	2395	854
737	2397	850
738	2398	847
739	2400	843
740	2401	839
